Name used in JSS,Short name,Description,Synonyms,Source Type,Map Type,ICD-10 ID,ICD-10 Name,Parent Category
Submucous leiomyoma of uterus,,,,ICD 10 - WHO,SAME-AS,D25.0,Submucous leiomyoma of uterus,Unclassified
Gangrene,,,,ICD 10 - WHO,SAME-AS,I96,"Gangrene, not elsewhere classified",Unclassified
Dermatophytosis,,,,ICD 10 - WHO,SAME-AS,B35.0,Tinea barbae and tinea capitis,Unclassified
Premature ejaculation,,,,ICD 10 - WHO,SAME-AS,F52.4,Premature ejaculation,Unclassified
Thyroid dysfunction,,,,ICD 10 - WHO,SAME-AS,O99.280,"Endocrine, nutritional and metabolic diseases complicating pregnancy, unspecified trimester",Unclassified
Swelling of limb,,,,ICD 10 - WHO,SAME-AS,M79.89,Other specified soft tissue disorders,Unclassified
Measles,,,,ICD 10 - WHO,SAME-AS,B05.0,Measles complicated by encephalitis,Unclassified
Mycoses of the body,,,,ICD 10 - WHO,SAME-AS,B35.5,Tinea imbricata,Unclassified
Tinea nigra,,,,ICD 10 - WHO,SAME-AS,B36.1,Tinea nigra,Unclassified
Streptococcal meningitis,,,,ICD 10 - WHO,SAME-AS,G00.2,Streptococcal meningitis,Unclassified
Benign intracranial hypertension,,,,ICD 10 - WHO,SAME-AS,G93.2,Benign intracranial hypertension,Unclassified
Cardiomyopathy,,,,ICD 10 - WHO,SAME-AS,I42.3,Endomyocardial (eosinophilic) disease,Unclassified
Acute sinusitis,,,,ICD 10 - WHO,SAME-AS,J01.00,"Acute maxillary sinusitis, unspecified",Unclassified
Endometriosis,,,,ICD 10 - WHO,SAME-AS,N80.0,Endometriosis of uterus,Unclassified
"Abortion with unspecified complication, incomplete",,,,ICD 10 - WHO,SAME-AS,O04.80,(Induced) termination of pregnancy with unspecified complications,Unclassified
Synovial cyst of popliteal space,,,,ICD 10 - WHO,SAME-AS,M71.20,"Synovial cyst of popliteal space [Baker], unspecified knee",Unclassified
Supervision of normal first pregnancy,,,,ICD 10 - WHO,SAME-AS,Z34.00,"Encounter for supervision of normal first pregnancy, unspecified trimester",Unclassified
Hydrocele,,,,ICD 10 - WHO,SAME-AS,N43.0,Encysted hydrocele,Unclassified
Anal fissure and fistula,,,,ICD 10 - WHO,SAME-AS,K60.2,"Anal fissure, unspecified",Unclassified
Hypoparathyroidism,,,,ICD 10 - WHO,SAME-AS,E20.9,"Hypoparathyroidism, unspecified",Unclassified
"Mycoses, Of scalp and beard",,,,ICD 10 - WHO,SAME-AS,B35.0,Tinea barbae and tinea capitis,Unclassified
Rheumatoid arthritis,,,,ICD 10 - WHO,SAME-AS,M06.4,#N/A,Unclassified
Eosinophilia,,,,ICD 10 - WHO,SAME-AS,D72.1,Eosinophilia,Unclassified
Hemorrhoids,,,,ICD 10 - WHO,SAME-AS,K64.8,Other hemorrhoids,Unclassified
Uterine prolapse without mention of vaginal wall prolapse,,,,ICD 10 - WHO,SAME-AS,N81.2,Incomplete uterovaginal prolapse,Unclassified
Calculus of ureter,,,,ICD 10 - WHO,SAME-AS,N20.1,Calculus of ureter,Unclassified
Nephrotic syndrome,,,,ICD 10 - WHO,SAME-AS,N04.4,Nephrotic syndrome with diffuse endocapillary proliferative glomerulonephritis,Unclassified
Female Infertility,,,,ICD 10 - WHO,SAME-AS,N97.0,Female infertility associated with anovulation,Unclassified
"Nutritional Deficiency,  Other protein",,,,ICD 10 - WHO,SAME-AS,E46,Unspecified protein-calorie malnutrition,Unclassified
Orchitis,,,,ICD 10 - WHO,SAME-AS,N45.4,Abscess of epididymis or testis,Unclassified
Hypospadias,,,,ICD 10 - WHO,SAME-AS,Q54.9,"Hypospadias, unspecified",Unclassified
Sciatia,,,,ICD 10 - WHO,SAME-AS,M54.30,"Sciatica, unspecified side",Unclassified
Cleft lip,,,,ICD 10 - WHO,SAME-AS,Q36.9,"Cleft lip, unilateral",Unclassified
Infectious diarrhea,,,,ICD 10 - WHO,SAME-AS,A09,"Infectious gastroenteritis and colitis, unspecified",Unclassified
Dog bite,,,,ICD 10 - WHO,SAME-AS,W54.0XXA,"Bitten by dog, initial encounter",Unclassified
Vitamin A deficiency,,,,ICD 10 - WHO,SAME-AS,E50.0,Vitamin A deficiency with conjunctival xerosis,Unclassified
Urticaria,,,,ICD 10 - WHO,SAME-AS,L50.0,Allergic urticaria,Unclassified
Parkinson,,,,ICD 10 - WHO,SAME-AS,G20,Parkinson's disease,Unclassified
Vitiligo,,,,ICD 10 - WHO,SAME-AS,L80,Vitiligo,Unclassified
Oral aphthae,,,,ICD 10 - WHO,SAME-AS,K12.0,Recurrent oral aphthae,Unclassified
Keloid scar,,,,ICD 10 - WHO,SAME-AS,L91.0,Hypertrophic scar,Unclassified
Portal hypertension,,,,ICD 10 - WHO,SAME-AS,K76.6,Portal hypertension,Unclassified
Stricture or kinking of ureter,,,,ICD 10 - WHO,SAME-AS,N13.5,Crossing vessel and stricture of ureter without hydronephrosis,Unclassified
Allergic rhinitis,,,,ICD 10 - WHO,SAME-AS,J30.1,Allergic rhinitis due to pollen,Unclassified
Cholera,,,,ICD 10 - WHO,SAME-AS,A00.0,"Cholera due to Vibrio cholerae 01, biovar cholerae",Unclassified
"Neoplasm, Stomach",,,,ICD 10 - WHO,SAME-AS,D00.2,Carcinoma in situ of stomach,Unclassified
Calculus of kidney and ureter,,,,ICD 10 - WHO,SAME-AS,N20.0,Calculus of kidney,Unclassified
Angina Pectoris,,,,ICD 10 - WHO,SAME-AS,I20.8,Other forms of angina pectoris,Unclassified
Atopic dermatitis and related conditions,,,,ICD 10 - WHO,SAME-AS,L22,Diaper dermatitis,Unclassified
Ankylosing spondylitis,,,,ICD 10 - WHO,SAME-AS,M45.9,Ankylosing spondylitis of unspecified sites in spine,Unclassified
Hirschsprung,,,,ICD 10 - WHO,SAME-AS,Q43.1,Hirschsprung's disease,Unclassified
Eczema herpeticum,,,,ICD 10 - WHO,SAME-AS,B00.0,Eczema herpeticum,Unclassified
Renal failure,,,,ICD 10 - WHO,SAME-AS,N19,Unspecified kidney failure,Unclassified
Calculus in urethra,,,,ICD 10 - WHO,SAME-AS,N21.1,Calculus in urethra,Unclassified
Lymphadenitis,,,,ICD 10 - WHO,SAME-AS,I88.9,"Nonspecific lymphadenitis, unspecified",Unclassified
Rheumatic chorea,,,,ICD 10 - WHO,SAME-AS,I02.0,Rheumatic chorea with heart involvement,Unclassified
Lymphangitis,,,,ICD 10 - WHO,SAME-AS,I89.1,Lymphangitis,Unclassified
Nephrotic syndrome with unspecified pathological lesion in kidney,,,,ICD 10 - WHO,SAME-AS,N04.9,Nephrotic syndrome with unspecified morphologic changes,Unclassified
Abscess of breast,,,,ICD 10 - WHO,SAME-AS,O91.119,"Abscess of breast associated with pregnancy, unspecified trimester",Unclassified
Jaundice,,,,ICD 10 - WHO,SAME-AS,R17,Unspecified jaundice,Unclassified
Amebiasis,,,,ICD 10 - WHO,SAME-AS,A06.0,Acute amebic dysentery,Unclassified
"Benign Neoplasm,  Cervix uteri",,,,ICD 10 - WHO,SAME-AS,D26.0,Other benign neoplasm of cervix uteri,Unclassified
"Carcinoma in situ, Prostate",,,,ICD 10 - WHO,SAME-AS,D07.5,Carcinoma in situ of prostate,Unclassified
"Carcinoma in situ, Penis",,,,ICD 10 - WHO,SAME-AS,D07.4,Carcinoma in situ of penis,Unclassified
Periodontosis,,,,ICD 10 - WHO,SAME-AS,K05.4,Periodontosis,Unclassified
Appendicitis,,,,ICD 10 - WHO,SAME-AS,K37,Unspecified appendicitis,Unclassified
"Neoplasm, Bladder",,,,ICD 10 - WHO,SAME-AS,D09.0,Carcinoma in situ of bladder,Unclassified
Hemorrhage of gastrointestinal tract,,,,ICD 10 - WHO,SAME-AS,K92.2,"Gastrointestinal hemorrhage, unspecified",Unclassified
Ulcer of heel and midfoot,,,,ICD 10 - WHO,SAME-AS,L97.409,Non-pressure chronic ulcer of unspecified heel and midfoot with unspecified severity,Unclassified
Epispadias,,,,ICD 10 - WHO,SAME-AS,Q64.0,Epispadias,Unclassified
Spondylolysis,,,,ICD 10 - WHO,SAME-AS,Q76.2,Congenital spondylolisthesis,Unclassified
Major salivary glands,,,,ICD 10 - WHO,SAME-AS,D11.9,"Benign neoplasm of major salivary gland, unspecified",Unclassified
Enuresis,,,,ICD 10 - WHO,SAME-AS,F98.0,Enuresis not due to a substance or known physiological condition,Unclassified
Encopresis,,,,ICD 10 - WHO,SAME-AS,F98.1,Encopresis not due to a substance or known physiological condition,Unclassified
Paralysis,,,,ICD 10 - WHO,SAME-AS,G83.9,"Paralytic syndrome, unspecified",Unclassified
Mediastinitis,,,,ICD 10 - WHO,SAME-AS,J98.5,"Diseases of mediastinum, not elsewhere classified",Unclassified
Perforation of intestine,,,,ICD 10 - WHO,SAME-AS,K63.1,Perforation of intestine (nontraumatic),Unclassified
Stricture,,,,ICD 10 - WHO,SAME-AS,N50.8,Other specified disorders of male genital organs,Unclassified
Uterovaginal prolapse,,,,ICD 10 - WHO,SAME-AS,N81.2,Incomplete uterovaginal prolapse,Unclassified
Prurigo,,,,ICD 10 - WHO,SAME-AS,L28.2,Other prurigo,Unclassified
Ulcer of other part of foot,,,,ICD 10 - WHO,SAME-AS,L97.509,Non-pressure chronic ulcer of other part of unspecified foot with unspecified severity,Unclassified
Pauciarticular juvenile rheumatoid arthritis,,,,ICD 10 - WHO,SAME-AS,M08.40,"Pauciarticular juvenile rheumatoid arthritis, unspecified site",Unclassified
Fasciitis,,,,ICD 10 - WHO,SAME-AS,M72.9,"Fibroblastic disorder, unspecified",Unclassified
Chronic osteomyelitis,,,,ICD 10 - WHO,SAME-AS,M86.669,"Other chronic osteomyelitis, unspecified tibia and fibula",Unclassified
Encephalocele,,,,ICD 10 - WHO,SAME-AS,Q01.9,"Encephalocele, unspecified",Unclassified
Coronary artery anomaly,,,,ICD 10 - WHO,SAME-AS,Q24.5,Malformation of coronary vessels,Unclassified
"FRACTURE OF NECK AND TRUNK, Rib",,,,ICD 10 - WHO,SAME-AS,S22.39XA,"Fracture of one rib, unspecified side, initial encounter for closed fracture",Unclassified
"FRACTURE OF UPPER LIMB, Ill",,,,ICD 10 - WHO,SAME-AS,S62.90XA,"Unspecified fracture of unspecified wrist and hand, initial encounter for closed fracture",Unclassified
"Contusion, Chest wall",,,,ICD 10 - WHO,SAME-AS,S20.219A,"Contusion of unspecified front wall of thorax, initial encounter",Unclassified
Nontraffic accident involving motor,,,,ICD 10 - WHO,SAME-AS,V86.52XA,"Driver of snowmobile injured in nontraffic accident, initial encounter",Unclassified
Contact dermatitis and other eczema,,,,ICD 10 - WHO,SAME-AS,L24.0,Irritant contact dermatitis due to detergents,Unclassified
